,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
35358,10513298,HZ254836,05/03/2016 12:00:00 PM,037XX N NEWLAND AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,1632,16.0,36.0,17.0,26,1129411.0,1924029.0,2016,05/10/2016 03:56:50 PM,41.947824587,-87.799722047,"(41.947824587, -87.799722047)"
35663,10513481,HZ254981,05/03/2016 05:00:00 PM,004XX N RIDGEWAY AVE,0620,BURGLARY,UNLAWFUL ENTRY,OTHER,False,False,1122,11.0,27.0,23.0,05,1151310.0,1902714.0,2016,05/10/2016 03:56:50 PM,41.888931976,-87.719786107,"(41.888931976, -87.719786107)"
36400,10513530,HZ255054,05/03/2016 07:00:00 AM,033XX W 62ND PL,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,823,8.0,15.0,66.0,11,1155146.0,1862987.0,2016,05/10/2016 03:56:50 PM,41.77984007,-87.706762932,"(41.77984007, -87.706762932)"
36422,10513537,HZ255100,05/03/2016 01:00:00 PM,024XX E 82ND ST,0810,THEFT,OVER $500,PARK PROPERTY,False,False,422,4.0,7.0,46.0,06,1193875.0,1851074.0,2016,05/10/2016 03:56:50 PM,41.746287787,-87.565168726,"(41.746287787, -87.565168726)"
36509,10514462,HZ256372,01/01/2015 12:00:00 AM,073XX S EXCHANGE AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,NURSING HOME/RETIREMENT HOME,False,False,334,3.0,7.0,43.0,02,,,2015,05/10/2016 03:56:50 PM,,,
36815,10515115,HZ257247,03/21/2016 09:00:00 AM,082XX S MARSHFIELD AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,ATM (AUTOMATIC TELLER MACHINE),False,False,614,6.0,21.0,71.0,11,,,2016,05/10/2016 03:56:50 PM,,,
37100,10515155,HZ250169,04/01/2016 03:00:00 PM,061XX S DREXEL AVE,0810,THEFT,OVER $500,RESIDENCE,False,False,313,3.0,20.0,42.0,06,,,2016,05/10/2016 03:56:50 PM,,,
37451,10515175,HZ257172,11/24/2015 05:30:00 PM,033XX W ADAMS ST,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,1124,11.0,28.0,27.0,06,,,2015,05/10/2016 03:56:50 PM,,,
37605,10515182,HZ257201,04/01/2016 12:30:00 PM,030XX W ARMITAGE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,1421,14.0,35.0,22.0,26,,,2016,05/10/2016 03:56:50 PM,,,
37977,10515257,HZ257314,04/05/2016 12:01:00 AM,006XX W BARRY AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1934,19.0,44.0,6.0,11,,,2016,05/10/2016 03:56:50 PM,,,
